Item,Weekday,count
Nomad bag,Tuesday,1
Nomad bag,Wednesday,1
Olum & polenta,Wednesday,1
Panatone,Saturday,2
Panatone,Thursday,2
Panatone,Friday,1
Pastry,Saturday,166
Pastry,Sunday,124
Pastry,Thursday,121
Pastry,Tuesday,119
Pastry,Friday,118
Pastry,Monday,105
Pastry,Wednesday,103
Pick and Mix Bowls,Sunday,3
Pick and Mix Bowls,Friday,2
Pick and Mix Bowls,Saturday,2
Pick and Mix Bowls,Thursday,2
Pick and Mix Bowls,Wednesday,2
Pick and Mix Bowls,Monday,1
Pintxos,Saturday,6
Polenta,Wednesday,1
Postcard,Saturday,10
Raspberry shortbread sandwich,Friday,1
Raspberry shortbread sandwich,Saturday,1
Raspberry shortbread sandwich,Sunday,1
Raw bars,Wednesday,1
Salad,Saturday,22
Salad,Tuesday,18
Salad,Friday,16
Salad,Monday,11
Salad,Thursday,11
Salad,Wednesday,11
Salad,Sunday,10
Sandwich,Saturday,161
Sandwich,Friday,134
Sandwich,Thursday,103
Sandwich,Monday,101
Sandwich,Sunday,98
Sandwich,Wednesday,92
Sandwich,Tuesday,82
Scandinavian,Saturday,118
Scandinavian,Friday,41
Scandinavian,Tuesday,39
Scandinavian,Sunday,27
Scandinavian,Wednesday,19
Scandinavian,Monday,17
Scandinavian,Thursday,16
Scone,Saturday,146
Scone,Friday,71
Scone,Sunday,57
Scone,Monday,27
Scone,Wednesday,11
Scone,Tuesday,10
Scone,Thursday,5
Siblings,Thursday,2
Smoothies,Sunday,25
Smoothies,Saturday,19
Smoothies,Thursday,11
Smoothies,Wednesday,8
Smoothies,Friday,5
Smoothies,Tuesday,5
Smoothies,Monday,4
Soup,Friday,63
Soup,Wednesday,56
Soup,Tuesday,54
Soup,Saturday,50
Soup,Thursday,50
Soup,Monday,45
Soup,Sunday,24
Spanish Brunch,Sunday,54
Spanish Brunch,Saturday,47
Spanish Brunch,Friday,19
Spanish Brunch,Tuesday,16
Spanish Brunch,Thursday,15
Spanish Brunch,Monday,11
Spanish Brunch,Wednesday,10
Spread,Sunday,1
Spread,Thursday,1
Tacos/Fajita,Saturday,8
Tacos/Fajita,Sunday,3
Tartine,Sunday,14
Tartine,Saturday,9
Tartine,Monday,6
Tartine,Wednesday,6
Tartine,Tuesday,5
Tartine,Friday,4
Tartine,Thursday,3
Tea,Saturday,288
Tea,Friday,218
Tea,Tuesday,194
Tea,Monday,193
Tea,Wednesday,188
Tea,Thursday,183
Tea,Sunday,171
The BART,Friday,1
The Nomad,Saturday,24
The Nomad,Sunday,15
The Nomad,Friday,6
The Nomad,Monday,5
The Nomad,Thursday,3
The Nomad,Wednesday,3
The Nomad,Tuesday,2
Tiffin,Friday,37
Tiffin,Saturday,35
Tiffin,Sunday,28
Tiffin,Thursday,25
Tiffin,Wednesday,13
Tiffin,Tuesday,5
Tiffin,Monday,3
Toast,Friday,63
Toast,Saturday,53
Toast,Thursday,53
Toast,Tuesday,40
Toast,Monday,38
Toast,Sunday,36
Toast,Wednesday,35
Truffles,Saturday,46
Truffles,Friday,33
Truffles,Monday,29
Truffles,Sunday,23
Truffles,Thursday,23
Truffles,Wednesday,20
Truffles,Tuesday,19
Tshirt,Saturday,21
Valentine's card,Saturday,7
Valentine's card,Thursday,3
Valentine's card,Tuesday,2
Valentine's card,Friday,1
Vegan Feast,Saturday,10
Vegan Feast,Sunday,2
Vegan Feast,Tuesday,2
Vegan Feast,Friday,1
Vegan Feast,Wednesday,1
Vegan mincepie,Saturday,11
Vegan mincepie,Friday,9
Vegan mincepie,Sunday,9
Vegan mincepie,Tuesday,8
Vegan mincepie,Thursday,7
Vegan mincepie,Monday,5
Vegan mincepie,Wednesday,5
Victorian Sponge,Sunday,4
Victorian Sponge,Saturday,1
Victorian Sponge,Tuesday,1
Victorian Sponge,Wednesday,1
