Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
2018/6/5,2018,6,5,1,22,2018-22,158.87,160.23,158.7,159.51,1179300,154.12,0.012568858,152.6721429,147.1876,green
2018/6/6,2018,6,6,2,22,2018-22,159,162.53,157.84,162.27,1555000,157.6,0.022591965,152.9564286,147.5162,green
2018/6/7,2018,6,7,3,22,2018-22,160.89,161.27,159.25,159.77,1227000,155.17,-0.015406308,153.0078571,147.8348,green
2018/6/8,2018,6,8,4,22,2018-22,159,160.09,158.38,159.83,1079700,155.23,0.000375544,153.085,148.1924,green
2018/6/11,2018,6,11,0,23,2018-23,159.97,161.25,159.22,160.57,1289000,155.95,0.004629874,153.15,148.523,green
2018/6/12,2018,6,12,1,23,2018-23,160.99,162.92,160.45,161.34,1179000,156.7,0.004795324,153.355,148.911,green
2018/6/13,2018,6,13,2,23,2018-23,162,162.26,160.21,160.47,1048700,155.85,-0.005392255,153.5371429,149.2524,green
2018/6/14,2018,6,14,3,23,2018-23,161.85,162.59,161.17,161.55,1169000,156.9,0.006730111,153.875,149.588,green
2018/6/15,2018,6,15,4,23,2018-23,161.08,161.08,159.03,160.26,2856700,155.65,-0.00798509,154.1528571,149.866,green
2018/6/18,2018,6,18,0,24,2018-24,158.33,158.67,157.57,158.47,972900,153.91,-0.011169331,154.5657143,150.1774,red
2018/6/19,2018,6,19,1,24,2018-24,156.3,156.37,154.81,155.31,1141300,150.84,-0.019940614,154.54,150.4126,red
2018/6/20,2018,6,20,2,24,2018-24,155.51,155.71,154.22,155.02,1173600,150.56,-0.001867204,154.51,150.5892,red
2018/6/21,2018,6,21,3,24,2018-24,155.28,156.39,155.13,155.87,2217100,151.38,0.005483175,154.4328571,150.8226,red
2018/6/22,2018,6,22,4,24,2018-24,156.82,158.98,156.71,158.14,1341000,153.59,0.014563432,154.5321429,151.0554,red
2018/6/25,2018,6,25,0,25,2018-25,157.6,157.6,153.31,154.8,1434500,150.34,-0.021120467,154.2621429,151.2306,red
2018/6/26,2018,6,26,1,25,2018-25,155.01,155.32,153.52,154.19,1026100,149.75,-0.003940664,153.7014286,151.3038,red
2018/6/27,2018,6,27,2,25,2018-25,155.31,157.26,155.03,155.54,1399300,151.06,0.008755378,153.4078571,151.3314,red
2018/6/28,2018,6,28,3,25,2018-25,155.88,156.69,154.35,156.68,1349500,152.17,0.007329287,153.1892857,151.4134,red
2018/6/29,2018,6,29,4,25,2018-25,157.33,159.77,157.15,158.15,1391000,153.6,0.009382137,153.0214286,151.5566,red
2018/7/2,2018,7,2,0,26,2018-26,157,158.7,156.55,158.28,1291900,153.72,0.000822163,152.8085714,151.7192,green
2018/7/3,2018,7,3,1,26,2018-26,158.7,159.47,157.05,157.18,640000,152.65,-0.006949887,152.58,151.8666,green
2018/7/5,2018,7,5,3,26,2018-26,162,163.17,161.07,161.88,1547900,157.22,0.029902167,152.6028571,152.1746,green
2018/7/6,2018,7,6,4,26,2018-26,161.99,165.5,161.52,164.04,1642500,159.32,0.013343175,152.865,152.4672,green
2018/7/9,2018,7,9,0,27,2018-27,165.08,166.29,164.81,164.81,1293700,160.07,0.004693983,153.305,152.6542,green
2018/7/10,2018,7,10,1,27,2018-27,165.11,166.71,164.63,166.47,2150100,161.68,0.010072128,154.0792857,152.9268,green
2018/7/11,2018,7,11,2,27,2018-27,163.18,164.57,162.62,164.06,1518200,159.34,-0.014477107,154.7064286,153.1664,green
2018/7/12,2018,7,12,3,27,2018-27,164.67,166.17,163.09,165.89,1913100,161.11,0.011154536,155.4014286,153.4262,green
2018/7/13,2018,7,13,4,27,2018-27,165.15,167.72,164.81,166.8,1501800,162,0.005485578,156.0021429,153.7436,green
2018/7/16,2018,7,16,0,28,2018-28,168.03,168.54,166.74,167.04,1399500,162.23,0.001438865,156.8514286,154.0348,red
2018/7/17,2018,7,17,1,28,2018-28,167.05,167.49,166.3,166.86,1854200,162.06,-0.00107741,157.7307143,154.2892,red
2018/7/18,2018,7,18,2,28,2018-28,166.23,167.05,164.25,165.03,1641300,160.28,-0.010967542,158.3892857,154.4946,red
2018/7/19,2018,7,19,3,28,2018-28,163.95,165.33,162.69,165.26,1553400,160.5,0.001393654,158.9842857,154.7288,red
2018/7/20,2018,7,20,4,28,2018-28,163.18,166.35,163.15,165.58,1326500,160.81,0.00193646,159.4992857,154.94,red
2018/7/23,2018,7,23,0,29,2018-29,164.42,164.81,161.75,161.9,1745200,157.24,-0.02222497,159.7507143,155.05,green
2018/7/24,2018,7,24,1,29,2018-29,162.62,164,162.41,163.34,1685100,158.64,0.008894384,160.1785714,155.1768,green
2018/7/25,2018,7,25,2,29,2018-29,164.83,166,162.96,165.81,1562100,161.04,0.015121861,160.4514286,155.3358,green
2018/7/26,2018,7,26,3,29,2018-29,162.77,167.39,162.31,166.45,2223000,161.66,0.003859884,160.6185714,155.5046,green
2018/7/27,2018,7,27,4,29,2018-29,166.52,167.93,165.57,166.43,1470800,161.64,-0.000120252,160.7307143,155.665,green
2018/7/30,2018,7,30,0,30,2018-30,166.43,167.85,165,165.34,1268200,160.58,-0.006549234,160.6521429,155.7876,red
2018/7/31,2018,7,31,1,30,2018-30,165.78,167.96,165.58,167.5,1673600,162.68,0.013063948,160.8907143,155.9582,red
2018/8/1,2018,8,1,2,30,2018-30,167.59,167.93,164.65,165.48,1447600,160.72,-0.012059746,160.8628571,156.0718,red
2018/8/2,2018,8,2,3,30,2018-30,164.1,164.52,162.91,163.92,1597600,159.2,-0.009427134,160.6628571,156.1792,red
2018/8/3,2018,8,3,4,30,2018-30,163.13,164.42,163.05,164.21,1050100,160.29,0.006836705,160.5242857,156.319,red
2018/8/6,2018,8,6,0,31,2018-31,154.26,158.8,153.52,157.96,3928400,154.19,-0.038061088,159.9621429,156.3594,red
2018/8/7,2018,8,7,1,31,2018-31,158.97,159.84,156.47,157.03,2552900,153.28,-0.005887541,159.4621429,156.3898,red
2018/8/8,2018,8,8,2,31,2018-31,157.41,157.96,156.49,157.05,1740900,153.3,0.000127222,158.9478571,156.4932,red
2018/8/9,2018,8,9,3,31,2018-31,157,158.25,156.24,157.15,1003300,153.4,0.000636927,158.4185714,156.5372,red
2018/8/10,2018,8,10,4,31,2018-31,155.83,155.83,154.13,154.79,1303700,151.09,-0.015017685,157.9792857,156.5394,red
2018/8/13,2018,8,13,0,32,2018-32,155.49,156,153.59,154.32,1337500,150.64,-0.003036323,157.4078571,156.503,red
2018/8/14,2018,8,14,1,32,2018-32,155.33,155.82,154.51,155.34,1612000,151.63,0.006609575,156.7357143,156.4916,red
2018/8/15,2018,8,15,2,32,2018-32,154.13,154.72,152.52,154.63,1352200,150.94,-0.004570461,155.97,156.428,red
2018/8/16,2018,8,16,3,32,2018-32,155.7,155.94,154.33,154.53,1102400,150.84,-0.000646794,155.1985714,156.2928,red
2018/8/17,2018,8,17,4,32,2018-32,154.16,156.25,154.16,156.04,1662800,152.31,0.009771609,154.6078571,156.2356,red
2018/8/20,2018,8,20,0,33,2018-33,156.64,158.7,156.64,158.29,1161100,154.51,0.014419251,154.0242857,156.2212,green
2018/8/21,2018,8,21,1,33,2018-33,158.54,159.25,157.96,158.32,935200,154.54,0.00018971,153.5828571,156.193,green
2018/8/22,2018,8,22,2,33,2018-33,157.91,158.24,154.93,155.02,1229200,151.32,-0.020843851,153.02,156.0854,green
2018/8/23,2018,8,23,3,33,2018-33,155,155.74,154.09,154.9,840400,151.2,-0.00077424,152.3707143,155.9924,green
2018/8/24,2018,8,24,4,33,2018-33,155.41,156.51,154.52,156.21,708000,152.48,0.008457239,152.2485714,155.904,green
2018/8/27,2018,8,27,0,34,2018-34,156.97,158.24,156.88,158.05,674200,154.28,0.011778906,152.32,155.8766,green
2018/8/28,2018,8,28,1,34,2018-34,158.5,159.1,157.58,158.35,1078100,154.57,0.001898196,152.4107143,155.8898,green
2018/8/29,2018,8,29,2,34,2018-34,158.54,159.66,157.79,159.5,685700,155.69,0.007262302,152.5742857,155.9868,green
2018/8/30,2018,8,30,3,34,2018-34,159.07,159.35,157.26,157.89,805700,154.12,-0.010093976,152.7907143,156.058,green
2018/8/31,2018,8,31,4,34,2018-34,158.15,159.06,157.46,158.19,1057800,154.41,0.00190002,153.06,156.1186,green
2018/9/4,2018,9,4,1,35,2018-35,157.87,157.99,155.12,156.18,1577700,152.45,-0.01270632,153.1185714,156.0958,red
2018/9/5,2018,9,5,2,35,2018-35,155.87,156.96,155.54,156.14,1736100,152.41,-0.00025593,153.2235714,156.1372,red
2018/9/6,2018,9,6,3,35,2018-35,156.53,157.69,155.33,156.67,897600,152.93,0.003394214,153.3728571,156.2008,red
2018/9/7,2018,9,7,4,35,2018-35,156.34,156.37,154.57,155.03,1225600,151.33,-0.01046778,153.3028571,156.2062,red
2018/9/10,2018,9,10,0,36,2018-36,155.8,156.47,155.34,155.87,645300,152.15,0.005418322,153.1342857,156.2058,green
2018/9/11,2018,9,11,1,36,2018-36,155.57,157.44,154.56,157.08,1247500,153.33,0.007762859,153.0478571,156.2004,green
2018/9/12,2018,9,12,2,36,2018-36,156.96,157.69,156.43,156.6,799700,152.86,-0.003055748,153.1578571,156.1832,green
2018/9/13,2018,9,13,3,36,2018-36,158.07,159.33,157.29,159.19,867900,155.39,0.016538902,153.4571429,156.238,green
2018/9/14,2018,9,14,4,36,2018-36,159.68,160.07,156.84,156.99,1675500,153.24,-0.013819893,153.5114286,156.1584,green
2018/9/17,2018,9,17,0,37,2018-37,157.16,159.08,156.97,158.02,1529500,154.25,0.00656089,153.5092857,156.057,green
2018/9/18,2018,9,18,1,37,2018-37,158.58,159.14,157.91,158.17,1104600,154.39,0.00094908,153.4964286,155.9434,green
2018/9/19,2018,9,19,2,37,2018-37,162.75,166.64,162.75,164.37,2689100,160.45,0.03919837,153.8364286,155.9188,green
2018/9/20,2018,9,20,3,37,2018-37,165.37,166.68,163.93,166.21,1624200,162.24,0.011194346,154.4164286,155.9768,green
2018/9/21,2018,9,21,4,37,2018-37,166.97,167.95,165.75,166.5,2323000,162.52,0.001744813,154.9957143,156.005,green
2018/9/24,2018,9,24,0,38,2018-38,165.99,167.25,163.92,164,1609000,160.08,-0.015015006,155.5407143,155.9666,red
2018/9/25,2018,9,25,1,38,2018-38,163.74,164.81,162.88,163.06,1273900,159.17,-0.005731615,156.0235714,155.9054,red
2018/9/26,2018,9,26,2,38,2018-38,162.71,164.27,161.9,162.58,1309300,158.7,-0.002943779,156.4357143,155.8382,red
2018/9/27,2018,9,27,3,38,2018-38,163,163.79,161.94,162.33,1314300,158.45,-0.001537627,156.9442857,155.8016,red
2018/9/28,2018,9,28,4,38,2018-38,160.7,162.14,160.11,160.73,1302400,156.89,-0.009856659,157.2828571,155.7294,red
2018/10/1,2018,10,1,0,39,2018-39,165.58,169.1,165.29,168.87,2329700,164.84,0.050644149,158.105,155.81,green
2018/10/2,2018,10,2,1,39,2018-39,166.26,169.26,165.43,169.03,1652300,164.99,0.000947345,158.9714286,155.965,green
2018/10/3,2018,10,3,2,39,2018-39,169.75,169.75,167.18,167.57,950500,163.57,-0.00863752,159.5557143,156.0636,green
2018/10/4,2018,10,4,3,39,2018-39,166.82,167,163.38,165.83,1720100,161.87,-0.010383818,160.1721429,156.0802,green
