,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label,mean_return,volatility
177,2018/9/14,2018,9,14,4,36,2018-36,159.68,160.07,156.84,156.99,1675500,153.24,-0.013819893,153.5114286,156.1584,green,0.2568,1.151681901
182,2018/9/21,2018,9,21,4,37,2018-37,166.97,167.95,165.75,166.5,2323000,162.52,0.0017448129999999998,154.9957143,156.005,green,1.1928,1.5791088309999999
187,2018/9/28,2018,9,28,4,38,2018-38,160.7,162.14,160.11,160.73,1302400,156.89,-0.009856659,157.2828571,155.7294,red,-0.7018,0.548649433
192,2018/10/5,2018,10,5,4,39,2018-39,164.15,165.74,163.65,164.24,1538700,160.32,-0.009588108,160.60571430000002,156.0534,green,0.4596,2.614411081
197,2018/10/12,2018,10,12,4,40,2018-40,156.82,157.78,155.33,156.24,1840700,152.51,0.012835468000000001,158.8464286,155.458,red,-0.9836,1.5765788280000002
202,2018/10/19,2018,10,19,4,41,2018-41,161.46,163.06,159.29,159.85,3012000,156.03,-0.009357709,157.51357140000002,155.5566,green,0.4652,1.351865637
207,2018/10/26,2018,10,26,4,42,2018-42,163.71,167.11,163.44,164.94,35352000,161.0,-0.000363516,156.9028571,156.5056,green,0.657,2.669117644
212,2018/11/2,2018,11,2,4,43,2018-43,160.66,161.81,155.44,159.84,6835100,156.02,-0.013333441000000001,159.0507143,157.1836,red,-0.621,1.125020666
217,2018/11/9,2018,11,9,4,44,2018-44,162.99,163.94,160.55,161.52,3249100,157.66,-0.022867581,159.9321429,157.7924,green,0.2222,1.807277289
222,2018/11/16,2018,11,16,4,45,2018-45,153.74,158.46,153.4,158.08,2726800,154.31,0.01868802,157.2785714,157.8034,red,-0.4162,1.823956058
226,2018/11/23,2018,11,23,4,46,2018-46,156.86,158.01,156.02,156.19,963600,152.46,-0.018043461,155.94071430000002,157.879,red,-0.2935,1.3328229440000001
231,2018/11/30,2018,11,30,4,47,2018-47,157.02,160.61,156.94,159.05,3944100,155.25,-0.001632085,153.3842857,157.5034,green,0.3824,2.165415734
235,2018/12/7,2018,12,7,4,48,2018-48,156.22,158.52,152.36,152.72,2518700,149.07,-0.020900191000000002,154.0257143,157.069,red,-0.9790000000000001,2.90522403
240,2018/12/14,2018,12,14,4,49,2018-49,157.38,158.47,156.05,156.93,2360800,153.18,-0.007337727,153.9728571,156.3158,green,0.5582,1.7909511999999999
245,2018/12/21,2018,12,21,4,50,2018-50,156.01,157.48,153.03,153.11,5452000,150.24,-0.006101939,153.8,155.7002,red,-0.3836,0.846030319
249,2018/12/28,2018,12,28,4,51,2018-51,157.1,158.56,155.04,156.31,1586100,153.38,-0.000639451,152.6107143,155.4828,green,0.5495,2.8773400330000003
253,2019/1/4,2019,1,4,4,0,2019-00,153.83,157.62,153.36,156.63,1801300,153.7,0.028498422000000002,152.0835714,155.045,green,0.15666666699999998,3.029360053
258,2019/1/11,2019,1,11,4,1,1??-19,160.56,160.76,159.37,160.21,1380400,157.21,-0.010132811,153.0807143,154.6258,green,0.4588,1.195936955
263,2019/1/18,2019,1,18,4,2,2??-19,158.76,161.45,158.01,160.79,2494800,157.78,0.022446912000000003,154.7528571,154.2536,red,0.0794,1.334859281
267,2019/1/25,2019,1,25,4,3,3??-19,158.69,160.11,158.64,158.84,1242700,155.87,0.009340974,155.7214286,153.866,red,-0.30125,0.9808123759999999
272,2019/2/1,2019,2,1,4,4,4??-19,163.91,165.9,163.46,165.76,1324300,162.66,0.016870071,156.8407143,154.5032,green,0.8604,1.004674972
277,2019/2/8,2019,2,8,4,5,5??-19,160.07,161.61,159.08,161.22,1557900,158.2,0.003298379,158.4714286,155.0534,red,-0.5489999999999999,1.116706094
282,2019/2/15,2019,2,15,4,6,6??-19,170.54,170.71,167.77,168.54,2573600,165.39,0.012252157,161.0721429,155.915,green,0.904,1.758890417
286,2019/2/22,2019,2,22,4,7,7??-19,172.24,173.74,171.55,173.5,1075700,170.25,0.012252171999999999,163.185,157.0908,green,0.7305,0.8286424640000001
291,2019/3/1,2019,3,1,4,8,8??-19,176.36,176.73,167.86,168.38,3033500,165.23,-0.028053453,166.7478571,158.6138,red,-0.5898,1.3553481840000001
296,2019/3/8,2019,3,8,4,9,9??-19,168.75,169.52,167.76,169.46,1558400,167.15,0.011882717,167.70428569999999,160.1096,green,0.2334,0.6294781970000001
301,2019/3/15,2019,3,15,4,10,10??-19,176.28,176.96,174.43,176.43,3661400,174.03,0.01274305,168.7892857,161.9634,green,0.8106,0.572854519
306,2019/3/22,2019,3,22,4,11,11??-19,172.1,172.76,169.19,169.86,1384000,167.55,-0.029925731,169.8778571,163.7736,red,-0.7448,1.69314137
311,2019/3/29,2019,3,29,4,12,12??-19,175.35,176.1,173.88,175.93,2158100,173.53,0.012838265,171.0092857,165.1476,green,0.711,1.267751947
316,2019/4/5,2019,4,5,4,13,2019-13,184.59,185.43,183.98,184.62,1403400,182.11,0.003915213,173.4028571,167.4122,green,0.9724,0.956199142
321,2019/4/12,2019,4,12,4,14,2019-14,180.8,181.13,180.14,180.35,1914500,177.89,0.002780105,176.48642859999998,169.5608,red,-0.4654,0.629495671
330,2019/4/26,2019,4,26,4,16,2019-16,175.44,178.26,175.37,178.26,1483900,175.83,0.011231986000000001,177.5778571,172.3868,red,-0.2352,0.8960087609999999
335,2019/5/3,2019,5,3,4,17,2019-17,179.68,181.47,179.24,180.96,1248900,178.5,0.002604145,176.7428571,173.5088,green,0.3068,1.216637867
340,2019/5/10,2019,5,10,4,18,2019-18,174.63,182.22,174.27,181.59,2511800,179.12,0.047533837999999995,175.6664286,173.892,red,0.1026,2.9112489239999997
345,2019/5/17,2019,5,17,4,19,2019-19,188.19,189.45,186.89,189.0,1737900,186.43,0.007194321,177.8178571,175.48,green,0.8144,1.7002219859999999
350,2019/5/24,2019,5,24,4,20,2019-20,187.37,188.15,185.85,187.86,1025300,185.3,0.015020561000000002,180.2892857,176.9014,red,-0.1106,1.6105801130000001
354,2019/5/31,2019,5,31,4,21,2019-21,180.3,181.41,179.87,180.55,1757200,178.95,-0.010874545,182.1278571,177.512,red,-0.86575,0.875702147
359,2019/6/7,2019,6,7,4,22,2019-22,200.15,201.11,197.63,200.05,3613300,198.27,0.013681212,185.95428569999999,179.84,green,2.0774,1.1335256059999999
364,2019/6/14,2019,6,14,4,23,2019-23,202.66,203.23,201.43,202.71,1524000,200.91,-0.000148002,191.55428569999998,182.33,green,0.2648,0.21807384100000002
369,2019/6/21,2019,6,21,4,24,2019-24,202.64,202.99,202.03,202.13,3770300,200.33,-0.001037837,198.2371429,184.2612,red,-0.0514,1.222151505
374,2019/6/28,2019,6,28,4,25,2019-25,199.6,201.72,199.12,200.8,6440600,199.02,0.006364949,200.0207143,186.4526,red,-0.1298,0.749119283
378,2019/7/5,2019,7,5,4,26,2019-26,201.1,203.17,200.1,202.43,1741300,200.63,-0.005795447,200.3492857,188.43,green,0.204,0.693557015
383,2019/7/12,2019,7,12,4,27,2019-27,203.76,204.72,202.98,203.98,1027600,202.17,0.005768965,200.41071430000002,190.91299999999998,red,0.1536,0.474243397
388,2019/7/19,2019,7,19,4,28,2019-28,202.99,204.61,202.63,203.38,1228300,201.57,-0.001276767,201.0042857,193.4614,red,-0.0574,0.6094003610000001
393,2019/7/26,2019,7,26,4,29,2019-29,199.43,201.15,199.32,200.96,1191200,199.17,0.005352991,200.9857143,195.8572,red,-0.2308,1.451541835
398,2019/8/2,2019,8,2,4,30,2019-30,188.78,189.05,185.83,187.71,2555200,186.04,-0.01423167,197.5921429,196.5056,red,-1.3516,0.891331195
403,2019/8/9,2019,8,9,4,31,2019-31,189.93,192.8,189.72,191.97,1600200,190.26,-0.00332275,193.32571430000002,197.209,green,0.4544,1.063708748
408,2019/8/16,2019,8,16,4,32,2019-32,186.68,189.13,186.56,188.79,1198900,187.11,0.011519393999999999,188.7942857,197.14700000000002,red,-0.3178,1.9638758109999999
413,2019/8/23,2019,8,23,4,33,2019-33,185.64,187.36,181.6,184.26,2119700,182.62,-0.015337018000000001,187.40571430000003,195.7838,red,-0.4818,0.840459815
418,2019/8/30,2019,8,30,4,34,2019-34,188.5,189.24,187.41,188.91,1686800,188.11,0.011376793999999999,185.6914286,194.2212,green,0.5954,0.668880258
422,2019/9/6,2019,9,6,4,35,2019-35,188.52,190.3,187.97,189.52,1066700,188.72,0.012934247,185.76,193.1514,red,0.08375,0.917444776
427,2019/9/13,2019,9,13,4,36,2019-36,192.49,193.71,191.98,192.16,1717100,191.34,0.0030798009999999996,186.45,191.8864,green,0.2876,1.6140508980000001
432,2019/9/20,2019,9,20,4,37,2019-37,195.49,196.25,193.1,194.11,2475500,193.29,-0.0006693119999999999,188.87,191.0266,green,0.21,1.412787847
437,2019/9/27,2019,9,27,4,38,2019-38,192.16,192.75,190.58,191.55,873900,190.74,-0.003900121,190.6135714,190.0262,red,-0.264,0.526536324
