High,Low,Open,Close,Volume,Adj Close,Return,Date,Week_Number,Year,mean_return,volatility
162.3000031,158.9100037,160.0599976,159.2200012,1990800,155.4184113,-1.424,2018/11/12,45,2018,-0.4162,1.823956058
160.3300018,156.5299988,160.2200012,156.9299927,2507100,153.1830597,-1.438,2018/11/13,45,2018,-0.4162,1.823956058
158.2400055,153,158.1900024,153.3600006,2338700,149.6983185,-2.275,2018/11/14,45,2018,-0.4162,1.823956058
156.3000031,152.5599976,156.0899963,155.1799927,2759400,151.4748383,1.187,2018/11/15,45,2018,-0.4162,1.823956058
158.4600067,153.3999939,153.7400055,158.0800018,2726800,154.305603,1.869,2018/11/16,45,2018,-0.4162,1.823956058
161.4499969,158.4400024,158.6100006,159.5,2464700,155.6917114,0.898,2018/11/19,46,2018,-0.2935,1.332822944
160.1900024,157.2400055,157.4900055,157.8699951,2151600,154.1006317,-1.022,2018/11/20,46,2018,-0.2935,1.332822944
161.2400055,158.5500031,159.2400055,159.0599976,2070900,155.2622223,0.754,2018/11/21,46,2018,-0.2935,1.332822944
158.0099945,156.0200043,156.8600006,156.1900024,963600,152.4607544,-1.804,2018/11/23,46,2018,-0.2935,1.332822944
158.2200012,156.8800049,157.0399933,157.3200073,2678200,153.5637665,0.723,2018/11/26,47,2018,0.3824,2.165415734
156.6499939,151.5200043,155.6600037,152.5500031,2525900,148.9076691,-3.032,2018/11/27,47,2018,0.3824,2.165415734
156.4799957,151.6999969,153.5299988,156.2899933,1808800,152.5583496,2.452,2018/11/28,47,2018,0.3824,2.165415734
159.8399963,155.3500061,155.5099945,159.3099976,2901300,155.5062561,1.932,2018/11/29,47,2018,0.3824,2.165415734
160.6100006,156.9400024,157.0200043,159.0500031,3944100,155.2524567,-0.163,2018/11/30,47,2018,0.3824,2.165415734
164.4199982,159.9199982,162.3000031,164.3500061,3177200,160.4259186,3.332,2018/12/3,48,2018,-0.979,2.90522403
164.2899933,160.4499969,163.9499969,160.8300018,2746100,156.989975,-2.142,2018/12/4,48,2018,-0.979,2.90522403
159.0200043,153,158.5299988,155.9799957,4785400,152.2557678,-3.016,2018/12/6,48,2018,-0.979,2.90522403
158.5200043,152.3600006,156.2200012,152.7200012,2518700,149.0735931,-2.09,2018/12/7,48,2018,-0.979,2.90522403
157.5399933,154.1100006,156.0299988,156.9100037,2540400,153.163559,2.744,2018/12/10,49,2018,0.5582,1.7909512
162.4600067,156.6499939,161.1600037,157.4600067,2552900,153.7004242,0.351,2018/12/11,49,2018,0.5582,1.7909512
162.1399994,159.4600067,161.6499939,160.5500031,2402600,156.7166595,1.962,2018/12/12,49,2018,0.5582,1.7909512
161.3000031,157.3000031,160.3999939,158.0899963,2456700,154.3153839,-1.532,2018/12/13,49,2018,0.5582,1.7909512
158.4700012,156.0500031,157.3800049,156.9299927,2360800,153.1830597,-0.734,2018/12/14,49,2018,0.5582,1.7909512
159.4400024,155.5899963,157.1900024,157.3300018,3148600,154.3851624,0.785,2018/12/17,50,2018,-0.3836,0.846030319
158.8899994,156.6300049,158.4199982,157.6100006,2147000,154.6599121,0.178,2018/12/18,50,2018,-0.3836,0.846030319
158.5,155.2100067,157.3999939,155.8300018,2618700,152.9132385,-1.129,2018/12/19,50,2018,-0.3836,0.846030319
156.3999939,152.4400024,154.4799957,154.0500031,3398900,151.1665497,-1.142,2018/12/20,50,2018,-0.3836,0.846030319
157.4799957,153.0299988,156.0099945,153.1100006,5452000,150.2441406,-0.61,2018/12/21,50,2018,-0.3836,0.846030319
153.4100037,148.1300049,152.6999969,148.1300049,2086800,145.3573456,-3.253,2018/12/24,51,2018,0.5495,2.877340033
152.7700043,145.9499969,148.75,152.7400055,2591500,149.8810883,3.112,2018/12/26,51,2018,0.5495,2.877340033
156.4100037,150.6000061,152.0500031,156.4100037,2867000,153.4823761,2.403,2018/12/27,51,2018,0.5495,2.877340033
158.5599976,155.0399933,157.1000061,156.3099976,1586100,153.3842316,-0.064,2018/12/28,51,2018,0.5495,2.877340033
157,153.9400024,156.2299957,156.0399933,1853900,153.119278,-0.173,2018/12/31,52,2018,-0.173,0
158.1600037,153.5200043,153.5299988,157.1999969,1716400,154.2575836,0.743,2019/1/2,0,2019,0.156666667,3.029360053
154.3500061,151.9299927,154.0599976,152.2899933,1775500,149.4394684,-3.123,2019/1/3,0,2019,0.156666667,3.029360053
157.6199951,153.3600006,153.8300018,156.6300049,1801300,153.6982574,2.85,2019/1/4,0,2019,0.156666667,3.029360053
158.0399933,155.1499939,155.7799988,156.4900055,1830200,153.5608673,-0.089,2019/1/7,1,2019,0.4588,1.195936955
158.5599976,155.1999969,156.0899963,158.1499939,2207300,155.1898041,1.061,2019/1/8,1,2019,0.4588,1.195936955
159.5299988,156.3300018,156.7299957,158.4600067,2099900,155.4940033,0.196,2019/1/9,1,2019,0.4588,1.195936955
161.9799957,158.3500061,158.6999969,161.8500061,2093900,158.8205566,2.139,2019/1/10,1,2019,0.4588,1.195936955
160.7599945,159.3699951,160.5599976,160.2100067,1380400,157.2112579,-1.013,2019/1/11,1,2019,0.4588,1.195936955
159.5,157.6999969,158.3699951,158.0200043,2004800,155.0622406,-1.367,2019/1/14,2,2019,0.0794,1.334859281
157.8699951,156.5399933,156.8399963,157.2299957,2110700,154.2870331,-0.5,2019/1/15,2,2019,0.0794,1.334859281
158.4199982,157.0800018,157.5299988,157.2400055,1382100,154.2968445,0.006,2019/1/16,2,2019,0.0794,1.334859281
157.6499939,156.2100067,156.3999939,157.2599945,2176500,154.3164673,0.013,2019/1/17,2,2019,0.0794,1.334859281
161.4499969,158.0099945,158.7599945,160.7899933,2494800,157.7803955,2.245,2019/1/18,2,2019,0.0794,1.334859281
161.7799988,159.6900024,161.6100006,160.8399963,1699100,157.8294525,0.031,2019/1/22,3,2019,-0.30125,0.980812376
161.0899963,157.4600067,160.5700073,158.9299927,1569500,155.9552002,-1.188,2019/1/23,3,2019,-0.30125,0.980812376
157.9100037,156.4299927,157.6100006,157.3699951,2528000,154.424408,-0.982,2019/1/24,3,2019,-0.30125,0.980812376
160.1100006,158.6399994,158.6900024,158.8399963,1242700,155.8668823,0.934,2019/1/25,3,2019,-0.30125,0.980812376
